Niveau,Structure_hierarchique,Code,Titres_de_classes,Definitions_de_la_classe
4,Sous-classe (Domaine),RDF3010303,Parasitologie médicale,Cette sous-classe comprend la recherche et le développement expérimental en parasitologie médicale.
4,Sous-classe (Domaine),RDF3010304,Virologie médicale,Cette sous-classe comprend la recherche et le développement expérimental en virologie médicale.
4,Sous-classe (Domaine),RDF3010305,Résistance aux antimicrobiens,Cette sous-classe comprend la recherche et le développement expérimental en résistance aux antimicrobiens.
4,Sous-classe (Domaine),RDF3010306,Résistance aux antiviraux,Cette sous-classe comprend la recherche et le développement expérimental en résistance aux antiviraux.
4,Sous-classe (Domaine),RDF3010307,Vaccins,Cette sous-classe comprend la recherche et le développement expérimental en vaccins.
4,Sous-classe (Domaine),RDF3010308,Microbiote humain,Cette sous-classe comprend la recherche et le développement expérimental en microbiote humain.
4,Sous-classe (Domaine),RDF3010309,Pathogenèse,Cette sous-classe comprend la recherche et le développement expérimental en pathogenèse.
4,Sous-classe (Domaine),RDF3010399,"Microbiologie médicale, n.c.a.","Cette sous-classe comprend la recherche et le développement expérimental en microbiologie médicale, n.c.a."
3,Classe,RDF30104,"Neurosciences, aspects médicaux et physiologiques et de la santé","Cette classe comprend la recherche et le développement expérimental en neurosciences, aspects médicaux et physiologiques et de la santé."
4,Sous-classe (Domaine),RDF3010401,Système nerveux autonome,Cette sous-classe comprend la recherche et le développement expérimental en système nerveux autonome.
4,Sous-classe (Domaine),RDF3010402,Système nerveux central,Cette sous-classe comprend la recherche et le développement expérimental en système nerveux central.
4,Sous-classe (Domaine),RDF3010403,Systèmes moteurs,Cette sous-classe comprend la recherche et le développement expérimental en systèmes moteurs.
4,Sous-classe (Domaine),RDF3010404,Maladies neuromusculaires,Cette sous-classe comprend la recherche et le développement expérimental en maladies neuromusculaires.
4,Sous-classe (Domaine),RDF3010405,Système nerveux périphérique,Cette sous-classe comprend la recherche et le développement expérimental en système nerveux périphérique.
4,Sous-classe (Domaine),RDF3010406,"Systèmes sensoriels, visuel","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, visuel."
4,Sous-classe (Domaine),RDF3010407,"Systèmes sensoriels, auditif","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, auditif."
4,Sous-classe (Domaine),RDF3010408,"Systèmes sensoriels, nociceptif","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, nociceptif."
4,Sous-classe (Domaine),RDF3010409,"Systèmes sensoriels, vestibulaire","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, vestibulaire."
4,Sous-classe (Domaine),RDF3010410,"Systèmes sensoriels, somatosensoriel","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, somatosensoriel."
4,Sous-classe (Domaine),RDF3010411,"Systèmes sensoriels, olfactif","Cette sous-classe comprend la recherche et le développement expérimental en systèmes sensoriels, olfactif."
4,Sous-classe (Domaine),RDF3010412,Neurosciences sensorimotrices,Cette sous-classe comprend la recherche et le développement expérimental en neurosciences sensorimotrices.
4,Sous-classe (Domaine),RDF3010413,Excitabilité neuronale et synapses,Cette sous-classe comprend la recherche et le développement expérimental en excitabilité neuronale et synapses.
4,Sous-classe (Domaine),RDF3010414,Neurodégénérescence,Cette sous-classe comprend la recherche et le développement expérimental en neurodégénérescence.
