Niveau,Code,Titres_de_classes,Nom_du_type_d_element_Francais,Description_d_element_Francais
4,RDF4020106,Reproduction animale,Exclusion(s),animaux génétiquement modifiés  (Voir RDF4040106 Animaux génétiquement modifiés)
3,RDF40301,Sciences vétérinaires,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40301,Sciences vétérinaires,Exclusion(s),"sciences biologiques ou les sciences de la vie associées à la santé humaine et à la médecine  (Voir RDF30 Sciences médicales, de la santé et de la vie)"
3,RDF40301,Sciences vétérinaires,Exclusion(s),procédures sur le terrain pour protéger les animaux contre les organismes nuisibles et les pathogènes  (Voir RDF4020105 Protection des animaux (contre les organismes nuisibles et les pathogènes))
4,RDF4030107,Parasitologie vétérinaire,Exclusion(s),virologie vétérinaire  (Voir RDF4030111 Virologie vétérinaire)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),biotechnologie agricole appliquées à des fins médicales  (Voir RDF30401 Biotechnologies médicales)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),"production agricole  (Voir RDF401 Agriculture, foresterie et pêches)"
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),"lutte biologique contre les organismes nuisibles, les maladies et les espèces exotiques  (Voir RDF2090102 Lutte biologique)"
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),biotechnologies environnementales  (Voir RDF20901 Biotechnologies de l'environnement)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),nutrition humaine  (Voir RDF30301 Nutrition et diététique humaines)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),amélioration des espèces animales au moyen de la reproduction sélective  (Voir RDF4020101 Amélioration génétique des animaux)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),amélioration des cultures et pâturages au moyen de la reproduction sélective  (Voir RDF4010205 Amélioration des cultures et des pâturages (sélection et amélioration génétique))
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),amélioration des cultures horticoles au moyen de la reproduction sélective  (Voir RDF4010302 Amélioration des cultures horticoles (sélection et amélioration génétique))
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),amélioration des arbres au moyen de la reproduction sélective  (Voir RDF4010408 Amélioration des arbres (sélection et amélioration génétique))
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),biotechnologies industrielles  (Voir RDF21001 Biotechnologies industrielles)
3,RDF40401,Biotechnologies de l'agriculture,Exclusion(s),nanobiotechnologie  (Voir RDF2110102 Nanobiotechnologies)
4,RDF4040106,Animaux génétiquement modifiés,Exclusion(s),clonage des animaux d'élevage  (Voir RDF4040107 Clonage des animaux d'élevage)
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),recherche appliquée et développement expérimental d'algorithmes pour l'apprentissage machine (automatique) et l'intelligence artificielle  (Voir RDF10201 Intelligence artificielle (IA))
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),sciences de l'apprentissage  (Voir RDF5030309 Sciences de l'apprentissage)
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),neuropsychologie  (Voir RDF3010422 Neuropsychologie)
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),"psychologie philosophique, psychologie morale et psychologie par l'action  (Voir RDF6030109 Psychologie philosophique (y compris la psychologie morale et la philosophie de l'action))"
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),philosophie de la cognition  (Voir RDF6030110 Philosophie de la cognition)
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),psychiatrie et psychothérapie  (Voir RDF3020223 Psychiatrie (y compris la psychothérapie))
2,RDF501,Psychologie et sciences cognitives,Exclusion(s),psychologie et sciences cognitives associées à la criminologie  (Voir RDF50902 Criminologie)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),applications de la psychologie dans le domaine des sciences cognitives  (Voir RDF50102 Sciences cognitives)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),applications de la psychologie dans le domaine des interactions homme-machine  (Voir RDF1020501 Interaction personne-machine)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),"aspects biologiques et chimiques des neurosciences  (Voir RDF10611 Neurosciences, aspects biologiques et chimiques)"
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),sciences de l'apprentissage  (Voir RDF5030309 Sciences de l'apprentissage)
3,RDF50101,"Psychologie, aspects sociaux et comportementaux",Exclusion(s),"aspects médicaux, de la santé et physiologiques des neurosciences  (Voir RDF30104 Neurosciences, aspects médicaux et physiologiques et de la santé)"
